RW,RQWt,RQBt,MQWt,LW,LQWt,LQBt,max_energy_eV,max_photocurrent,quality_factor,prominence
5,2.050999999999999712e+00,7.032000000000000028e+00,2.637000000000000011e+00,1,2.050999999999999712e+00,7.032000000000000028e+00,3.143000196118841245e+02,1.514062438753035635e-11,2.245000000000056275e+02,2.311154981919575913e-01
7,2.343999999999999861e+00,5.859999999999999432e+00,3.222999999999999865e+00,3,1.464999999999999858e+00,7.032000000000000028e+00,3.364000209908934949e+02,5.421057520803021797e-12,0.000000000000000000e+00,9.606038594810849318e+00
7,1.758000000000000007e+00,8.789999999999999147e+00,2.637000000000000011e+00,3,1.464999999999999858e+00,9.375999999999999446e+00,3.008000187695028558e+02,5.119446946793149182e-10,0.000000000000000000e+00,1.800077733513499254e+02
7,2.050999999999999712e+00,7.032000000000000028e+00,2.637000000000000011e+00,6,1.758000000000000007e+00,7.910999999999999588e+00,4.281000267128462724e+02,3.260799102837250048e-10,0.000000000000000000e+00,0.000000000000000000e+00
4,9.668999999999998707e+00,7.617999999999999439e+00,6.445999999999999730e+00,2,2.343999999999999861e+00,1.464999999999999858e+00,4.634000289155173959e+02,5.405665088067688157e-13,9.268000000000007503e+02,1.718529186611456971e-04
9,6.445999999999999730e+00,7.324999999999999289e+00,1.171999999999999931e+00,1,8.496999999999999886e+00,2.929999999999999716e+00,4.896000305503610548e+02,4.235653759141718891e-13,1.078414096916299769e+01,9.993719374046291515e-01
3,2.637000000000000011e+00,3.808999999999999719e+00,5.859999999999999432e+00,5,3.516000000000000014e+00,6.445999999999999730e+00,4.105000256146307720e+02,1.074638464638235099e-12,3.392561983471083664e+01,1.648297405561782447e-01
2,3.516000000000000014e+00,4.394999999999999574e+00,4.980999999999999872e+00,8,2.929999999999999716e+00,5.566999999999999282e+00,4.995000311681072844e+02,2.375769942927366711e-12,2.171739130434741014e+02,1.039109526641721848e+00
6,1.464999999999999858e+00,6.445999999999999730e+00,2.637000000000000011e+00,2,9.668999999999998707e+00,9.668999999999998707e+00,4.515000281729737708e+02,1.710429369146212805e-10,0.000000000000000000e+00,3.666960704194632825e+00
8,3.808999999999999719e+00,1.758000000000000007e+00,7.032000000000000028e+00,5,2.050999999999999712e+00,5.566999999999999282e+00,4.899000305690805703e+02,4.606570199219443560e-13,3.768461538461409077e+02,7.800094944889143789e-02
1,9.083000000000000185e+00,3.222999999999999865e+00,7.032000000000000028e+00,4,5.566999999999999282e+00,5.859999999999999432e+00,4.890000305129218532e+02,1.758907040075240117e-13,3.761538461538332854e+02,3.505096871912392192e-02
3,9.668999999999998707e+00,7.910999999999999588e+00,9.375999999999999446e+00,9,6.445999999999999730e+00,9.375999999999999446e+00,4.524000282291326016e+02,1.833295038802877074e-11,2.262000000000515683e+03,2.874462162279209365e-02
2,2.637000000000000011e+00,1.464999999999999858e+00,3.808999999999999719e+00,4,3.516000000000000014e+00,8.496999999999999886e+00,3.571000222825448418e+02,8.784185726380680270e-12,8.927500000000769660e+02,1.387677136636900621e-01
4,3.516000000000000014e+00,5.859999999999999432e+00,2.343999999999999861e+00,8,1.758000000000000007e+00,9.961999999999999744e+00,4.472000279046598621e+02,1.098596720612507603e-10,3.240579710144919545e+01,4.473538007661400639e-01
8,2.929999999999999716e+00,1.171999999999999931e+00,8.203999999999998849e+00,7,7.617999999999999439e+00,7.910999999999999588e+00,4.910000306377190782e+02,1.288557352678484736e-12,6.546666666666621381e+01,8.528747642235225968e-01
2,4.101999999999999424e+00,2.050999999999999712e+00,8.789999999999999147e+00,7,4.101999999999999424e+00,1.464999999999999858e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.239641657334826279e-04,0.000000000000000000e+00
4,3.808999999999999719e+00,7.617999999999999439e+00,6.738999999999999879e+00,9,5.274000000000000021e+00,2.050999999999999712e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.378121284185493465e-04,0.000000000000000000e+00
7,7.910999999999999588e+00,6.152999999999999581e+00,7.910999999999999588e+00,5,5.566999999999999282e+00,4.980999999999999872e+00,4.999000311930667522e+02,1.464581945436329814e-11,7.574242424242390825e+01,4.271477528825884940e-01
1,2.050999999999999712e+00,1.171999999999999931e+00,6.738999999999999879e+00,4,5.566999999999999282e+00,9.083000000000000185e+00,4.999000311930667522e+02,2.753059145657850956e-14,1.617799352750812147e+01,2.113950725975627040e-02
3,4.687999999999999723e+00,7.910999999999999588e+00,2.929999999999999716e+00,2,3.516000000000000014e+00,2.343999999999999861e+00,4.287000267502854172e+02,5.032105145512343228e-11,5.793243243243228591e+01,2.684334908129811237e-01
1,4.101999999999999424e+00,2.050999999999999712e+00,9.072188343476728534e+00,7,4.101999999999999424e+00,1.464999999999999858e+00,4.827000301198105490e+02,4.628042121181550118e-15,1.237692307692319247e+02,1.559028627799478872e-02
2,2.636970435174778249e+00,1.171999999999999931e+00,6.738999999999999879e+00,5,3.465423402223678728e+00,9.083000000000000185e+00,4.249000265131707010e+02,1.513759031429466134e-12,5.665333333333328447e+00,1.441072620921992842e+00
4,4.920975464862808124e+00,7.817507488504074509e+00,6.738999999999999879e+00,9,5.741682947617222865e+00,2.050999999999999712e+00,4.805000299825335901e+02,1.919914252635138609e-12,9.610000000000005116e+01,7.976690832249309082e-01
8,2.939638989564544058e+00,6.064127451525261669e+00,8.203999999999998849e+00,7,7.715745083793757786e+00,7.910999999999999588e+00,4.851000302695673554e+02,3.464311780858006990e-13,3.255704697986575269e+01,9.676933566908998974e-02
3,4.687999999999999723e+00,7.910999999999999588e+00,2.929999999999999716e+00,1,3.516000000000000014e+00,2.343999999999999861e+00,4.287000267502854172e+02,5.032105145512343228e-11,5.793243243243228591e+01,2.684334908129811237e-01
